id_student,avg_score,max_score,min_score,total_assessments,avg_days_submitted,banked_count
6516,61.8,77.0,48.0,5,111.6,0
8462,87.0,93.0,83.0,7,23.0,4
11391,82.0,85.0,78.0,5,112.4,0
23629,82.5,100.0,63.0,4,55.75,0
23698,74.44444444444444,94.0,56.0,9,133.44444444444446,0
23798,93.9090909090909,100.0,87.0,11,120.45454545454545,0
24186,62.5,80.0,40.0,8,160.625,0
24213,76.28571428571429,91.0,58.0,7,125.71428571428571,0
24391,88.88888888888889,100.0,80.0,9,152.77777777777777,0
24734,46.8,55.0,38.0,5,121.6,0
25107,77.36363636363636,100.0,53.0,11,114.36363636363636,0
25150,84.25,97.0,75.0,4,91.5,0
25261,78.0,78.0,78.0,1,21.0,0
25572,55.0,80.0,30.0,2,30.5,0
25997,86.5,100.0,73.0,2,46.5,0
26023,88.0,100.0,53.0,9,149.11111111111111,0
26192,86.2,88.0,83.0,5,113.0,0
26211,89.25,99.0,68.0,12,110.16666666666667,0
26247,88.0,88.0,88.0,1,18.0,0
26315,51.4,72.0,1.0,5,101.0,0
26734,74.33333333333333,100.0,61.0,3,76.33333333333333,0
27116,93.33333333333333,100.0,84.0,9,133.33333333333334,0
27189,52.0,69.0,16.0,12,149.08333333333334,0
27417,50.625,80.0,6.0,8,69.125,0
27683,82.08333333333333,98.0,63.0,12,165.75,0
27759,76.0909090909091,100.0,48.0,11,121.0909090909091,0
27780,60.0,65.0,57.0,3,70.66666666666667,0
27891,69.16666666666667,100.0,55.0,12,36.333333333333336,6
27935,75.25,90.0,63.0,4,72.5,0
28046,49.42857142857143,69.0,24.0,7,129.0,0
28061,77.6,82.0,71.0,5,115.2,0
28400,66.4,70.0,60.0,5,114.2,0
28418,31.5,33.0,30.0,2,44.5,0
28787,53.6,89.0,21.0,5,139.8,0
28808,70.0,80.0,60.0,2,38.0,0
28897,71.33333333333333,92.0,47.0,12,151.0,0
28952,59.5,67.0,52.0,2,26.5,0
29144,73.22222222222223,100.0,55.0,9,99.88888888888889,0
29335,92.08333333333333,97.0,86.0,12,98.83333333333333,0
29411,59.22222222222222,93.0,0.0,9,108.22222222222223,0
29420,75.25,100.0,54.0,8,147.375,0
29639,83.76923076923077,94.0,67.0,13,120.76923076923077,0
29764,89.33333333333333,97.0,83.0,9,128.55555555555554,0
29769,77.5,95.0,60.0,6,74.83333333333333,0
29820,80.61538461538461,100.0,60.0,13,116.46153846153847,0
29985,71.88888888888889,100.0,0.0,9,142.44444444444446,0
30091,88.0,100.0,72.0,10,121.1,0
30096,93.55555555555556,100.0,79.0,9,129.55555555555554,0
30531,87.25,92.0,83.0,4,31.0,0
30549,35.0,35.0,35.0,1,25.0,0
30850,99.33333333333333,100.0,96.0,9,131.0,0
31014,90.0,100.0,82.0,5,59.8,0
31107,89.22222222222223,100.0,72.0,9,135.88888888888889,0
31161,96.88888888888889,100.0,89.0,9,126.77777777777777,0
31173,50.142857142857146,92.0,22.0,7,128.71428571428572,0
31205,90.5,100.0,80.0,4,101.0,0
31269,56.0,67.0,45.0,2,39.0,0
31296,66.08333333333333,81.0,38.0,12,184.91666666666666,0
31600,54.8,64.0,47.0,5,116.6,0
31604,76.0,88.0,71.0,5,112.2,0
31663,79.27272727272727,100.0,15.0,11,114.54545454545455,0
31849,78.0,100.0,60.0,11,122.18181818181819,0
32221,89.6,94.0,88.0,5,77.8,0
32239,80.625,100.0,55.0,8,139.125,0
32327,31.0,61.0,1.0,2,35.5,0
32885,54.4,75.0,30.0,5,125.6,0
32930,45.0,59.0,1.0,5,109.8,0
33387,59.0,65.0,55.0,3,55.333333333333336,0
33600,84.0,84.0,84.0,1,17.0,0
33666,78.66666666666667,100.0,58.0,3,41.666666666666664,0
33681,76.14285714285714,94.0,63.0,7,24.857142857142858,4
33796,63.714285714285715,83.0,44.0,7,116.85714285714286,0
33897,54.5,59.0,50.0,4,5.0,3
33915,91.5,100.0,83.0,12,116.75,0
33930,81.33333333333333,88.0,67.0,6,114.0,0
34068,73.33333333333333,86.0,56.0,3,43.333333333333336,0
34087,84.42857142857143,88.0,83.0,7,23.857142857142858,4
34229,88.0,100.0,72.0,9,115.33333333333333,0
34293,74.0,76.0,72.0,2,35.0,0
34353,90.6,100.0,73.0,10,116.9,0
34431,80.0,80.0,80.0,1,60.0,0
34653,49.0,62.0,35.0,3,83.33333333333333,0
34662,34.5,68.0,1.0,2,32.0,0
34731,75.66666666666667,79.0,72.0,3,27.0,0
34756,67.33333333333333,80.0,51.0,3,42.0,0
34863,73.9090909090909,100.0,40.0,11,115.0909090909091,0
35001,75.0,80.0,70.0,2,92.0,0
35340,79.75,93.0,56.0,4,92.5,0
35355,75.22222222222223,89.0,43.0,9,83.11111111111111,0
35502,66.0,66.0,66.0,1,14.0,0
35508,87.0,99.0,76.0,9,118.0,0
35544,87.58333333333333,99.0,76.0,12,130.66666666666666,0
35747,54.0,54.0,54.0,1,24.0,0
35796,82.0,82.0,82.0,1,22.0,0
35812,71.0,71.0,71.0,1,19.0,0
35860,83.0,89.0,73.0,10,116.0,0
36347,67.45454545454545,84.0,54.0,11,168.54545454545453,0
36385,70.6,84.0,64.0,5,37.2,0
