code_module,code_presentation,id_student,gender,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,region_East Midlands Region,region_Ireland,region_London Region,region_North Region,region_North Western Region,region_Scotland,region_South East Region,region_South Region,region_South West Region,region_Wales,region_West Midlands Region,region_Yorkshire Region
AAA,2013J,11391,0,3,95.0,2,0,210,0,1,0,0,0,0,0,0,0,0,0,0,0,0
AAA,2013J,28400,1,3,25.0,1,0,60,0,1,0,0,0,0,0,1,0,0,0,0,0,0
AAA,2013J,30268,1,2,35.0,1,0,60,1,-1,0,0,0,0,1,0,0,0,0,0,0,0
AAA,2013J,31604,1,2,55.0,1,0,60,0,1,0,0,0,0,0,0,1,0,0,0,0,0
AAA,2013J,32885,1,1,55.0,0,0,60,0,1,0,0,0,0,0,0,0,0,0,0,1,0
AAA,2013J,38053,0,2,85.0,1,0,60,0,1,0,0,0,0,0,0,0,0,0,1,0,0
AAA,2013J,45462,0,3,35.0,0,0,60,0,1,0,0,0,0,0,1,0,0,0,0,0,0
AAA,2013J,45642,1,2,95.0,0,0,120,0,1,0,0,0,0,1,0,0,0,0,0,0,0
AAA,2013J,52130,1,2,75.0,0,0,90,0,1,0,0,0,0,0,0,0,0,0,0,0,0
AAA,2013J,53025,0,4,15.0,2,0,60,0,1,0,0,0,1,0,0,0,0,0,0,0,0
AAA,2013J,57506,0,1,75.0,1,0,60,0,1,0,0,0,0,0,0,0,1,0,0,0,0
AAA,2013J,58873,1,2,25.0,0,0,60,0,1,0,0,0,0,0,0,0,0,0,0,0,0
AAA,2013J,59185,0,1,65.0,1,0,60,0,1,0,0,0,0,0,0,0,0,0,0,0,0
AAA,2013J,62155,1,3,55.0,0,0,60,0,1,0,0,0,0,1,0,0,0,0,0,0,0
AAA,2013J,63400,0,1,45.0,1,0,60,0,1,0,0,0,0,0,1,0,0,0,0,0,0
AAA,2013J,65002,1,2,75.0,0,0,60,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
AAA,2013J,70464,1,2,65.0,1,0,60,0,1,0,0,0,0,0,0,0,0,0,0,1,0
AAA,2013J,71361,0,3,5.0,1,0,60,0,1,0,1,0,0,0,0,0,0,0,0,0,0
AAA,2013J,74372,0,2,15.0,1,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AAA,2013J,75091,0,2,35.0,1,0,60,0,1,0,0,0,0,0,0,0,0,1,0,0,0
AAA,2013J,77367,0,2,35.0,0,0,60,0,1,1,0,0,0,0,0,0,0,0,0,0,0
AAA,2013J,91265,0,3,5.0,0,0,60,0,1,0,0,0,0,1,0,0,0,0,0,0,0
AAA,2013J,94961,0,1,75.0,1,0,60,0,-1,0,0,0,0,0,0,0,1,0,0,0,0
AAA,2013J,98094,0,1,75.0,1,0,60,0,1,0,0,0,0,0,0,0,0,0,1,0,0
AAA,2013J,100893,0,2,25.0,0,0,60,0,1,0,0,0,0,0,0,0,0,0,0,0,1
AAA,2013J,101781,0,1,85.0,1,0,60,0,1,0,0,0,0,0,0,0,1,0,0,0,0
AAA,2013J,102806,0,2,35.0,0,0,60,0,1,0,0,0,0,1,0,0,0,0,0,0,0
AAA,2013J,102952,0,3,65.0,0,0,60,0,1,0,0,1,0,0,0,0,0,0,0,0,0
AAA,2013J,104476,0,4,5.0,1,0,60,0,1,0,1,0,0,0,0,0,0,0,0,0,0
AAA,2013J,106247,0,3,85.0,1,0,60,0,-1,0,0,0,0,0,0,0,1,0,0,0,0
AAA,2013J,106577,0,1,25.0,0,0,60,0,1,1,0,0,0,0,0,0,0,0,0,0,0
AAA,2013J,110175,0,3,85.0,1,0,60,0,1,0,0,0,0,0,0,0,0,0,0,0,0
