id_student,total_clicks,avg_clicks_per_day,active_days,first_activity,last_activity,activity_span
6516,2773,4.188821752265861,159,-23,269,292
8462,656,2.1578947368421053,56,-6,118,124
11391,882,4.5,40,-5,253,258
23629,161,2.7288135593220337,16,-6,87,93
23698,771,2.5278688524590165,70,-18,231,249
23798,590,1.9281045751633987,77,-4,267,271
24186,184,2.2439024390243905,23,-4,240,244
24213,1992,2.69553450608931,118,-11,237,248
24391,674,2.9304347826086956,58,2,249,247
24734,499,2.1695652173913045,56,-18,252,270
25107,2495,4.77055449330784,115,-9,238,247
25150,1857,3.662721893491124,122,-18,230,248
25261,992,3.042944785276074,39,-18,66,84
25572,113,1.9152542372881356,23,-23,93,116
25629,16,2.2857142857142856,3,-8,3,11
25997,13,1.8571428571428572,1,35,35,0
26023,771,2.909433962264151,84,-14,253,267
26192,2223,3.3732928679817906,118,-14,254,268
26211,13448,5.511475409836065,248,-18,241,259
26247,478,3.22972972972973,18,-11,26,37
26315,2307,3.739059967585089,91,-9,257,266
26734,210,1.875,29,-9,133,142
26915,61,1.967741935483871,7,-11,31,42
27116,1793,2.5324858757062145,126,-12,269,281
27189,2214,4.680761099365751,53,4,227,223
27417,510,2.7567567567567566,40,-24,183,207
27683,1518,3.795,50,-6,232,238
27759,366,2.010989010989011,46,0,263,263
27780,518,3.257861635220126,41,-18,227,245
27891,348,2.71875,23,-6,124,130
27935,813,2.463636363636364,54,-18,150,168
28046,661,2.4124087591240877,51,-18,233,251
28061,1590,2.3981900452488687,148,-24,269,293
28400,1435,3.3372093023255816,80,-10,239,249
28418,325,2.6,22,-5,172,177
28787,631,2.5860655737704916,59,-17,268,285
28808,232,2.1682242990654204,18,-18,85,103
28897,3046,3.845959595959596,135,-18,226,244
28952,105,2.3333333333333335,12,-11,54,65
29144,1908,2.2579881656804734,123,-6,226,232
29335,8454,4.289193302891933,230,-18,267,285
29411,1158,2.311377245508982,91,-18,235,253
29420,780,2.736842105263158,49,-12,245,257
29639,9120,3.5009596928982725,271,-18,269,287
29764,2549,3.8621212121212123,89,-18,237,255
29769,1567,3.785024154589372,71,-18,167,185
29820,2425,2.4494949494949494,123,-18,227,245
29985,760,2.923076923076923,52,-6,238,244
30091,1309,3.816326530612245,64,-1,243,244
30096,637,3.033333333333333,54,-18,239,257
30268,281,3.6973684210526314,12,-10,12,22
30531,1367,3.8945868945868947,54,-16,220,236
30549,137,2.044776119402985,21,-17,147,164
30850,1992,3.4643478260869567,130,-14,265,279
31014,531,3.0170454545454546,47,-10,115,125
31107,3796,4.176017601760176,209,-8,240,248
31161,2790,3.675889328063241,185,-18,262,280
31173,858,3.0425531914893615,57,2,256,254
31205,381,2.8222222222222224,26,-4,170,174
31269,859,2.366391184573003,45,-18,72,90
31296,1006,4.226890756302521,43,-9,263,272
31600,429,3.4047619047619047,19,-23,240,263
31604,2158,3.2549019607843137,123,-10,264,274
31663,5898,3.82987012987013,222,-9,238,247
31849,1179,3.23013698630137,80,0,268,268
32221,1113,3.7474747474747474,48,-3,129,132
32239,620,2.6724137931034484,51,-13,237,250
32327,635,3.5277777777777777,30,-7,102,109
32885,1034,2.9375,70,-10,247,257
32930,437,3.387596899224806,13,17,231,214
33387,248,2.6956521739130435,22,-10,131,141
33600,465,3.4191176470588234,21,-18,26,44
33666,1208,3.763239875389408,66,3,140,137
33681,464,2.1382488479262673,26,-25,122,147
33796,351,1.9392265193370166,45,2,252,250
33897,322,4.666666666666667,5,22,54,32
33915,4004,3.948717948717949,128,-17,236,253
33930,544,2.4954128440366974,72,-15,234,249
34068,553,3.1242937853107344,55,-18,94,112
34087,425,1.9406392694063928,53,-13,171,184
34229,706,2.5955882352941178,50,-9,236,245
34293,840,4.590163934426229,36,-18,79,97
34353,391,2.5064102564102564,32,7,226,219
34431,192,2.953846153846154,13,3,116,113
34653,213,2.088235294117647,20,-18,140,158
34662,218,2.5057471264367814,26,-9,103,112
34731,656,3.0943396226415096,33,-11,92,103
34756,129,1.8428571428571427,11,2,59,57
34863,198,2.2,19,2,212,210
35001,77,1.6041666666666667,14,1,101,100
35340,1782,3.890829694323144,99,-17,234,251
35355,3173,3.7818831942789033,150,-11,257,268
35502,545,1.8858131487889274,32,-18,31,49
35508,3331,3.3851626016260163,142,-18,262,280
35544,1968,3.5846994535519126,101,-18,240,258
35747,648,3.6818181818181817,21,-9,37,46
35796,592,3.051546391752577,31,-18,47,65
35812,19,1.7272727272727273,3,14,23,9
35860,1965,3.9696969696969697,67,-18,234,252
36347,1810,3.7166324435318274,106,-18,240,258
36385,1182,3.875409836065574,51,-17,75,92
37298,1751,3.154954954954955,87,-9,240,249
37622,470,2.611111111111111,39,-6,248,254
37652,823,3.4435146443514646,54,-8,267,275
38053,2445,3.3817427385892116,143,-10,267,277
38234,94,2.292682926829268,9,-7,166,173
38711,154,2.4838709677419355,14,2,173,171
39208,2064,2.9485714285714284,160,-9,262,271
39411,164,2.8275862068965516,15,-18,37,55
39427,93,1.690909090909091,14,-3,46,49
39655,432,2.4269662921348316,34,-6,217,223
39660,630,2.2419928825622777,74,-18,144,162
39882,1499,3.997333333333333,44,-5,210,215
40184,1876,2.345,149,-18,258,276
